"<a href='https://www.idigbio.org/portal/recordsets/1ea6c281-e2ca-4e79-80b7-63e27812044c'>Museum of Cultural and Natural History Bird Collection - MCNH-Bird</a>","5,000 Records"
"<a href='https://www.idigbio.org/portal/recordsets/b764863c-de93-4d7c-b0cf-1bb57166141d'>University of Texas at El Paso Biodiversity Collections - Entomology</a>","516 Records"
"<a href='https://www.idigbio.org/portal/recordsets/43362664-f117-47cb-9fc4-56c1a1e8c962'>California State University, Fullerton, and County of Orange, The John D. Cooper Archaeological and Paleontological Center - OCPC</a>","7,441 Records"
"<a href='https://www.idigbio.org/portal/recordsets/459bd81e-63b9-47d2-9818-dceb6657bea0'>University of Michigan Museum of Zoology, Division of Fishes - ummz_fish</a>","188,280 Records"
"<a href='https://www.idigbio.org/portal/recordsets/9c5fea92-a28b-4b6e-94b5-9c939f7369a2'>University of Michigan Museum of Zoology,Mollusks - UMMZ-mollusks</a>","132,570 Records"
"<a href='https://www.idigbio.org/portal/recordsets/1fc07b28-43f5-49d1-badf-63005e1c3e9a'>Texas Lutheran University, Herbarium - TLU</a>","5,416 Records"
"<a href='https://www.idigbio.org/portal/recordsets/d478c23a-1993-443d-85ea-308870606626'>Buffalo Museum of Science, The Clinton Herbarium - BUF</a>","96,726 Records"
"<a href='https://www.idigbio.org/portal/recordsets/6659b6dd-d487-4b72-b0c8-ae65942a6f15'>University of Minnesota, James Ford Bell Museum of Natural History - MIN-Bird</a>","48,470 Records"
"<a href='https://www.idigbio.org/portal/recordsets/2936c837-ad9f-40d8-bea0-58b2a635c637'>University of Minnesota, Bell Museum of Natural History - MIN-Algae</a>","22 Records"
"<a href='https://www.idigbio.org/portal/recordsets/72059315-e131-42ba-b7c6-489415e297b9'>University of Minnesota, Bell Museum of Natural History - JFBM-Mollusks</a>","19,549 Records"
"<a href='https://www.idigbio.org/portal/recordsets/e1c7bc41-50a4-4723-b8b3-f970844ffb65'>University of Minnesota, Bell Museum of Natural History - MIN-Paleobotany</a>","150 Records"
"<a href='https://www.idigbio.org/portal/recordsets/5082e6c8-8f5b-4bf6-a930-e3e6de7bf6fb'>Los Angeles County Natural History Museum - LACM Invertebrate Paleontology</a>","1,001 Records"
"<a href='https://www.idigbio.org/portal/recordsets/dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5'>University of California Riverside - Herbarium - UCR</a>","267,409 Records"
"<a href='https://www.idigbio.org/portal/recordsets/0038ce2e-43bb-4f70-8dd6-dca34efd3fca'>Old Dominion University Herbarium - ODU</a>","1,730 Records"
"<a href='https://www.idigbio.org/portal/recordsets/40d35f62-cf89-488a-bad3-66e66d38c10c'>Highlands Biological Station Herbarium - HBSH</a>","641 Records"
"<a href='https://www.idigbio.org/portal/recordset/a4e6033a-d1eb-46d3-869d-7c0328f09aa7'>Rancho Santa Ana Botanic Garden Herbarium - RSA/POM</a>","516,309 Records"
"<a href='https://www.idigbio.org/portal/recordset/b0099c3d-bc60-42ae-a9a1-d602a2b1e965'>Eastern Michigan University, T. L. Hankinson Vertebrate Museum - EMU Mammals</a>","1,242 Records"
"<a href='https://www.idigbio.org/portal/recordset/ef02b508-69db-449a-a87e-01e4afadec89'>University of Texas, El Paso - UTEP  Zooplankton</a>","134 Records"
"<a href='https://www.idigbio.org/portal/recordset/71e55d91-4c0c-4a13-9421-c732348b0a47'>University of New Mexico - UNM Earth Sciences</a>","145 Records"
"<a href='https://www.idigbio.org/portal/recordset/77e7e6bd-7822-4b84-a46b-39a06abdac2e'>Carnegie Museum of Natural History -  CM Mollusks</a>","145,394 Records"
"<a href='https://www.idigbio.org/portal/recordset/10d835b1-1062-4236-9329-444ed81f624f'>University of New Mexico Museum of Southwestern Biology - MSB Fish</a>","99,074 Records"
"<a href='https://www.idigbio.org/portal/recordset/d78d13a7-3852-4244-ba34-86ef5765fa99'>University of Massachusetts, Amherst - MASS (includes Amherst College - AC)</a>","97,397 Records"
"<a href='https://www.idigbio.org/portal/recordset/64b54f96-91f0-4442-b6de-173aa1a5c31b'>Bartlett Arboretum Herbarium - BART</a>","3,789 Records"
"<a href='https://www.idigbio.org/portal/recordset/a69decc7-76ba-496a-a66e-f91049c02cf0'>Boston University, Stuart K. Harris Herbarium - BSN</a>","40,941 Records"
"<a href='https://www.idigbio.org/portal/recordset/282fe9c2-d6cb-4325-b3b5-b70ab1d22bbb'>Western Connecticut State University Herbarium - WCSU</a>","4,631 Records"
"<a href='https://www.idigbio.org/portal/recordset/ef59f7cc-ed42-45fc-9abc-5edfb2c8caec'>Berea College, Ralph L. Thompson Herbarium - BEREA</a>","12,227 Records"
"<a href='https://www.idigbio.org/portal/recordset/9fab87bf-c5a7-4296-acdc-f22859cfe620'>University of Nevada, Reno, Museum of Natural History - UNR Entomology</a>","1 Records"
"<a href='https://www.idigbio.org/portal/recordset/1320a827-d62a-45b1-9d26-c0aa4790a422'>University of Minnesota - MIN Insect</a>","18,040 Records"
"<a href='https://www.idigbio.org/portal/recordset/f4666aa7-93f0-41f7-83c2-497af7a06887'>Broward College - BROW Insect</a>","76 Records"
"<a href='https://www.idigbio.org/portal/recordset/50ca2a08-0e76-4f56-9976-d344dd201a9b'>University of South Carolina Salkehatchie Herbarium - SALK</a>","275 Records"
"<a href='https://www.idigbio.org/portal/recordset/2e03b83d-d2b9-4a8e-90b5-42b5b1301a92'>Canadian Museum of Nature - CMN Mollusc</a>","44,268 Records"
"<a href='https://www.idigbio.org/portal/recordset/4d9103e7-fe58-4dc5-9fa8-e739949fd3f3'>Canadian Museum of Nature - CMN Fish</a>","60,907 Records"
"<a href='https://www.idigbio.org/portal/recordset/0e0d4dba-9c5d-4dbf-9ac8-09114c56ec03'>Canadian Museum of Nature - CMN Insect</a>","19,051 Records"
"<a href='https://www.idigbio.org/portal/recordset/8057906f-17c9-4e25-b173-4e7fb938078b'>Canadian Museum of Nature - CMN Herbarium</a>","252,155 Records"
"<a href='https://www.idigbio.org/portal/recordset/639ae683-0a66-4a59-9c09-36304bf11424'>Canadian Museum of Nature - CMN Bird</a>","100,970 Records"
"<a href='https://www.idigbio.org/portal/recordset/ba4b4a05-f01f-4b16-b36a-83bf997a8722'>Canadian Museum of Nature - CMN Crustacea</a>","59,780 Records"
"<a href='https://www.idigbio.org/portal/recordset/2148b4f7-a770-4bca-b276-da70ae948690'>Canadian Museum of Nature - CMN General Invertebrate</a>","8,750 Records"
"<a href='https://www.idigbio.org/portal/recordset/07389fe4-c6dc-4e6c-87d2-345e2d183050'>Canadian Museum of Nature - CMN Amphibian and Reptile</a>","37,667 Records"
"<a href='https://www.idigbio.org/portal/recordset/a4c4e0ee-38dd-47fd-9b06-ce4cc011e111'>Canadian Museum of Nature - CMN Mammal</a>","59,469 Records"
"<a href='https://www.idigbio.org/portal/recordset/cb4882a8-19d3-41a1-9373-c1a868b5ac9b'>Canadian Museum of Nature - CMN Annelid</a>","4,462 Records"
"<a href='https://www.idigbio.org/portal/recordset/90d6f994-d652-49d0-b6e6-924c65c4c079'>Canadian Museum of Nature - CMN Parasite</a>","15,259 Records"
"<a href='https://www.idigbio.org/portal/recordset/6f470382-cb0b-4634-a796-2248bfa97fdc'>Campbell University Herbarium - CAU</a>","185 Records"
"<a href='https://www.idigbio.org/portal/recordset/79aa7602-a963-44f3-82dd-e141a387adb8'>Morehead State University Herbarium - MDKY</a>","10,415 Records"
"<a href='https://www.idigbio.org/portal/recordset/3bbf3659-4b21-40b7-b74f-f17a60097154'>Rocky Mountain Biological Laboratory - RMBL Mammals</a>","619 Records"
"<a href='https://www.idigbio.org/portal/recordset/02edea37-e897-409a-a372-8865460ba9c1'>Abilene Christian University - ACUNHC Mammals</a>","2,090 Records"
"<a href='https://www.idigbio.org/portal/recordset/a8ac06c9-efb5-4337-9bdb-bee3b490772c'>Ditsong National Museum of Natural History Collection: 1805-2008</a>","162,150 Records"
"<a href='https://www.idigbio.org/portal/recordset/7df4be6b-67e9-4c05-8cd9-f546bdcc54d0'>IZIKO South Africa Museum Collection (1800-2013)</a>","258,397 Records"
"<a href='https://www.idigbio.org/portal/recordset/8b7ece52-d8b3-4999-978c-c18cb12065d3'>ARC-PPRI: National Survey of Arachnida (1905-2009)</a>","41,575 Records"
"<a href='https://www.idigbio.org/portal/recordset/38c75faa-67df-46ae-bce8-331f46d46140'>Bolus Herbarium Specimens Collection (1865-2009)</a>","44,879 Records"
"<a href='https://www.idigbio.org/portal/recordset/0e162e0a-bf3e-4710-9357-44258ca12abb'>Florida Museum of Natural History - FLMNH Paleobotany</a>","55,552 Records"
"<a href='https://www.idigbio.org/portal/recordset/4960f30c-c1c7-490e-966a-61ad02969e38'>Patuxent Research Refuge Herbarium - USFWS-PRR</a>","4,850 Records"
"<a href='https://www.idigbio.org/portal/recordset/88271bd3-1985-4fa7-9e33-f82cc24dfad3'>University of New Mexico, Museum of Southwestern Biology - MSB Amphibians and Reptiles</a>","18,826 Records"
"<a href='https://www.idigbio.org/portal/recordset/774a153b-e556-47f6-95d1-bab49e61cc58'>Academy of Natural Sciences of Philadelphia - ANSP Malacology</a>","480,848 Records"
"<a href='https://www.idigbio.org/portal/recordset/fb4cc282-eba5-4156-b7c7-df41e0581b68'>University of South Carolina, A. C. Moore Herbarium - USCH Fungi</a>","624 Records"
"<a href='https://www.idigbio.org/portal/recordset/e5f377de-c662-4eec-a4d4-b41b18441f3a'>University of South Carolina, A. C. Moore Herbarium - USCH Lichens</a>","352 Records"
"<a href='https://www.idigbio.org/portal/recordset/a2845484-4243-44a3-8cd3-0a4866513ffc'>Museum of Cultural and Natural History - MCNH Amphibians</a>","2,086 Records"
"<a href='https://www.idigbio.org/portal/recordset/b8e6077e-ae92-481f-a018-ed18bcefb62d'>Museum of Cultural and Natural History - MCNH Fish</a>","1,738 Records"
"<a href='https://www.idigbio.org/portal/recordset/84c24d87-e4ad-4165-8e86-5ae1a249c196'>Sam Noble Oklahoma Museum of Natural History - OMNH Vertebrate Paleontology</a>","70,447 Records"
"<a href='https://www.idigbio.org/portal/recordset/de96ed89-4b6e-4a57-ba68-01027102b89b'>Chicago Academy of Sciences - CHAS Ichthyology</a>","29 Records"
"<a href='https://www.idigbio.org/portal/recordset/e8a10a16-86af-42b2-be40-9d6a1b21859a'>Chicago Academy of Sciences - CHAS Malacology</a>","43 Records"
"<a href='https://www.idigbio.org/portal/recordset/d14d21fe-da24-47e5-81fb-4bfe962ce828'>Chicago Academy of Sciences - CHAS Botany</a>","52 Records"
"<a href='https://www.idigbio.org/portal/recordset/f93c403b-d0f0-4be1-8a4b-ed9aa3b513e3'>Chicago Academy of Sciences - CHAS Entomology</a>","2,392 Records"
"<a href='https://www.idigbio.org/portal/recordset/d90e8316-2649-475e-a8c0-80130dab1fd2'>North Carolina Museum of Natural Sciences - NCSM Non-molluscan Invertebrate</a>","12,497 Records"
"<a href='https://www.idigbio.org/portal/recordset/1ae056ac-8834-43a8-ad44-d1148b6e075f'>University of Alaska Museum of the North - KWP Kenelm W. Philip Lepidoptera</a>","76,442 Records"
"<a href='https://www.idigbio.org/portal/recordset/43fc7071-8c60-450a-a940-91f363781aa9'>College of the Atlantic - COA Eggs</a>","119 Records"
"<a href='https://www.idigbio.org/portal/recordset/185e82f5-6b63-4eae-9b91-fb9f73a3d494'>College of the Atlantic - COA Birds</a>","878 Records"
"<a href='https://www.idigbio.org/portal/recordset/a3a25673-c2b7-4054-8c8d-7ed87c27e0d8'>College of the Atlantic - COA Herpetology</a>","61 Records"
"<a href='https://www.idigbio.org/portal/recordset/c2c93e11-9235-40b8-b439-895e92ddb5d8'>College of the Atlantic - COA Mammals</a>","187 Records"
"<a href='https://www.idigbio.org/portal/recordset/610c8eb0-f2b9-458c-936e-3efe5e8522ca'>College of the Atlantic - COA Entomology</a>","37 Records"
"<a href='https://www.idigbio.org/portal/recordset/99c4ec83-ec62-42b5-b745-4bdf7cc2c669'>Northern Michigan University - NMU Birds</a>","320 Records"
"<a href='https://www.idigbio.org/portal/recordset/3624883b-4d6a-471d-9c3d-b4482aaa0e9b'>Northern Michigan University - NMU Mammals</a>","1,952 Records"
"<a href='https://www.idigbio.org/portal/recordset/a2422e89-eee0-4bdc-a6e2-350d21e74534'>Central Michigan University Museum of Cultural & Natural History - MCNH Reptiles</a>","1,192 Records"
"<a href='https://www.idigbio.org/portal/recordset/11170c5e-033a-4410-aed1-3dee2458bc43'>Worcester Society of Natural History d.b.a. EcoTarium - ECOT Ornithology</a>","1,804 Records"
"<a href='https://www.idigbio.org/portal/recordset/8f3b62fb-56ec-49e8-9f8f-bb257348291f'>University of Nebraska State Museum, C.E. Bessey Herbarium - NEB Microfungi</a>","52,783 Records"
"<a href='https://www.idigbio.org/portal/recordset/442246b3-6610-45e6-b2bf-c11ee15917b8'>Utah Museum of Natural History - UMNH Mammals</a>","41,819 Records"
"<a href='https://www.idigbio.org/portal/recordset/8a9e3b42-e6e8-4485-b304-3cbf6d709a6c'>Utah Museum of Natural History - UMNH Reptiles and Amphibians</a>","22,431 Records"
"<a href='https://www.idigbio.org/portal/recordset/372d25cd-e4c6-4c58-8d3f-abe16887c805'>Utah Museum of Natural History - UMNH Birds</a>","20,741 Records"
"<a href='https://www.idigbio.org/portal/recordset/16e722d1-cf07-4bb9-a4ff-3c38ab0bcebf'>California State University, Long Beach - CSULB Mammals</a>","12,217 Records"
"<a href='https://www.idigbio.org/portal/recordset/781b461a-2788-4fa6-b3df-bbed9447f5a3'>Caliente Field Office, Bureau of Land Management Herbarium - BLM-CFO</a>","746 Records"
"<a href='https://www.idigbio.org/portal/recordset/b7a5dadd-7429-489b-9b3b-72abcd9518a3'>Ely Bureau of Land Management Herbarium - BLM-EDO</a>","1,333 Records"
"<a href='https://www.idigbio.org/portal/recordset/feb74628-8724-466f-8c8c-b3d3b72f2417'>Nevada Department of Agriculture Herbarium - NDOA</a>","966 Records"
"<a href='https://www.idigbio.org/portal/recordset/03e04b8e-1dea-49ac-8a46-4276ddcfed21'>Snow College Herbarium - EPHR</a>","1,778 Records"
"<a href='https://www.idigbio.org/portal/recordset/4efa0623-a625-4949-aea4-7cb60a99b6f8'>Swaner Preserve and EcoCenter Herbarium - SWANER</a>","423 Records"
"<a href='https://www.idigbio.org/portal/recordset/384a1909-f66c-4551-9b26-ea985cd9ccd8'>Utah State University Eastern Herbarium - PRI</a>","167 Records"
"<a href='https://www.idigbio.org/portal/recordset/abf5b4f3-ed39-4bb9-acd6-9ee50acac0ad'>Denver Museum of Nature & Science - DMNS Parasites</a>","416 Records"
"<a href='https://www.idigbio.org/portal/recordset/5302ea7f-1c6f-4fc9-8c20-97dd38c0c783'>University of Texas, El Paso - UTEP  Birds</a>","3,047 Records"
"<a href='https://www.idigbio.org/portal/recordset/b7a79601-c07b-46d5-bd09-d4472b0d9431'>University of Texas, El Paso - UTEP  Fossils</a>","23,354 Records"
"<a href='https://www.idigbio.org/portal/recordset/9764480a-6e4a-4800-9bb7-b6fb73bccc50'>University of Texas, El Paso - UTEP  Invertebrates</a>","4,004 Records"
"<a href='https://www.idigbio.org/portal/recordset/6acaebd6-e8d2-454a-8f50-e7a6734b8c79'>California State University East Bay Natural History Museum - CSUEB Insects</a>","152 Records"
"<a href='https://www.idigbio.org/portal/recordset/53feaa83-e3b6-4ad3-8597-293b153e7548'>Penn State University, Frost Entomological Museum - PSUC Insects</a>","38,898 Records"
"<a href='https://www.idigbio.org/portal/recordset/7ed2ce52-26e5-4847-9563-955ae3e97455'>Davidson College Entomology Collection - DCH Insects</a>","6,528 Records"
"<a href='https://www.idigbio.org/portal/recordset/8295ea14-c4fd-499b-bc68-2907ed36badc'>Fort Lewis College Herbarium - FLD Vascular plants</a>","13,048 Records"
"<a href='https://www.idigbio.org/portal/recordset/12018be6-3795-43a3-a073-a2b9d60c0af3'>Rocky Mountain Biological Laboratory Herbarium - RMBL Vascular plants</a>","6,954 Records"
"<a href='https://www.idigbio.org/portal/recordset/9c1d51f2-067e-452b-a52b-ea7b03e50e25'>University of Kansas, R. L. McGregor Herbarium - KANU Fungi</a>","2,945 Records"
"<a href='https://www.idigbio.org/portal/recordset/e597a4f6-2be7-4538-8007-dec480dc4d6f'>South Dakota State University, Severin-McDaniel Insect Research Collection - SDSU Insects</a>","9,489 Records"
"<a href='https://www.idigbio.org/portal/recordset/67893f3c-c409-41c6-a8f2-47956739a911'>Huntington University Herbarium - HUNT Vascular plants</a>","5,633 Records"
"<a href='https://www.idigbio.org/portal/recordset/3998ec8d-4aae-46db-9370-179c19b69356'>University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium - UWSP Vascular plants</a>","53,231 Records"
"<a href='https://www.idigbio.org/portal/recordset/0dab1fc7-ca99-456b-9985-76edbac003e0'>Indiana University Deam Herbarium - IND Vascular plants</a>","96,072 Records"
"<a href='https://www.idigbio.org/portal/recordset/1f8c7572-5cda-44be-9a78-0658217fc279'>University of South Alabama Herbarium - USAM Fungi</a>","748 Records"
"<a href='https://www.idigbio.org/portal/recordset/a2eb724e-58a9-4840-a87e-5b6ca1c344dc'>Southeastern Louisiana University - SLU Herpetology</a>","6,250 Records"
"<a href='https://www.idigbio.org/portal/recordset/5ffc8bc6-e366-4157-b1ba-00859f1048a4'>Howard University Herbarium - HUDC</a>","4,478 Records"
"<a href='https://www.idigbio.org/portal/recordset/8eabbc48-2b30-419d-bd8f-eece9185eca1'>Mississippi State University, Mississippi Entomological Museum - MISSA</a>","74,705 Records"
"<a href='https://www.idigbio.org/portal/recordset/dad057a8-0648-4e11-9652-740ce7f86d62'>Kent State University Herbarium - KE Vascular plants</a>","14,444 Records"
"<a href='https://www.idigbio.org/portal/recordset/bd7cfd55-bf55-46fc-878d-e6e11f574ccd'>University of Florida, Florida Museum of Natural History - UF Herpetology</a>","168,803 Records"
"<a href='https://www.idigbio.org/portal/recordset/f00b6a32-5337-406b-a850-17f5d78470ad'>Field Museum of Natural History Herbarium - F Pteridophytes</a>","70,784 Records"
"<a href='https://www.idigbio.org/portal/recordset/e80009a0-8a2a-499a-976f-f04869b05ce9'>University of Illinois Museum of Natural History - UIMNH Amphibians and Reptiles</a>","224 Records"
"<a href='https://www.idigbio.org/portal/recordset/108cca70-4d1c-4882-843b-2d31ba8d6763'>University of Nebraska at Kearney Herbarium - NEBK</a>","7,221 Records"
"<a href='https://www.idigbio.org/portal/recordset/99e84c7d-dd3c-40d9-9526-54f4342cda95'>Santa Cruz Island Reserve Herbarium - SCIR</a>","1,304 Records"
"<a href='https://www.idigbio.org/portal/recordset/a4babe52-5740-44e4-9ea2-acef4797f127'>University of West Georgia Herbarium - WGC</a>","5,002 Records"
"<a href='https://www.idigbio.org/portal/recordset/ee566f77-2d46-41cb-89e2-7c040d4ca44c'>Buffalo Society of Natural Sciences - BSNS Ornithology</a>","2,911 Records"
"<a href='https://www.idigbio.org/portal/recordset/dd2c002f-1f3f-41a5-a483-0849ca798049'>Buffalo Society of Natural Sciences - BSNS Herpetology</a>","159 Records"
"<a href='https://www.idigbio.org/portal/recordset/f3327705-8d69-4d9c-88b7-584a08c74653'>North Carolina Zoological Park Herbarium - NCZP</a>","2,350 Records"
"<a href='https://www.idigbio.org/portal/recordset/042dbdba-a449-4291-8777-577a5a4045de'>Emory University Herbarium - GEO</a>","11,922 Records"
"<a href='https://www.idigbio.org/portal/recordset/2941b767-e90b-41b9-9627-6e589e0c0c85'>Northern Kentucky University, John W. Thieret Herbarium - KNK</a>","16,841 Records"
"<a href='https://www.idigbio.org/portal/recordset/945d6d7d-c768-4189-be9d-f693104d590c'>Cornell College Herbarium - MOVC</a>","2 Records"
"<a href='https://www.idigbio.org/portal/recordset/2fe53355-8ec5-4d00-ac6f-85d49c2af7a4'>Fort Hays State University Herbarium - FHKSC</a>","552 Records"
"<a href='https://www.idigbio.org/portal/recordset/1720ead7-9d20-4179-8998-2a59b8bfa8d7'>University of Northern Iowa, Grant Herbarium- ISTC</a>","6,996 Records"
"<a href='https://www.idigbio.org/portal/recordset/8e2f9392-55ac-49f3-bcc2-131a00122626'>Montana State University - Northern Herbarium - MSUNH</a>","1,242 Records"
"<a href='https://www.idigbio.org/portal/recordset/664bd710-8791-4dba-a3b6-000a1b140951'>Pittsburg State University, Theodore M. Sperry Herbarium - KSP</a>","3,801 Records"
"<a href='https://www.idigbio.org/portal/recordset/9d9016ef-a88f-4312-a0bf-638fc4be53ba'>Washburn University Herbarium - WASH</a>","473 Records"
"<a href='https://www.idigbio.org/portal/recordset/6eb1dbc4-ea33-456b-8782-0a953900d37a'>William Jewell College Herbarium - WJC</a>","716 Records"
"<a href='https://www.idigbio.org/portal/recordset/093030d9-a124-42a8-8cf3-8c6904fefbe7'>Friday Harbor Laboratories Herbarium - FHL Algae</a>","3,921 Records"
"<a href='https://www.idigbio.org/portal/recordset/6b2c3ca9-69ad-4316-a2d1-33399e9f547e'>Morris Arboretum of University of Pennsylvania - MOAR</a>","7,180 Records"
"<a href='https://www.idigbio.org/portal/recordset/0e5201c0-bad2-4e28-9322-5c5dca8862c8'>Herbario de la Universidad de Sonora - USON</a>","22,439 Records"
"<a href='https://www.idigbio.org/portal/recordset/70abba3e-5f2a-4276-87f3-261706e24453'>Botanical Research Institute of Texas Philecology Herbarium - BRIT</a>","49,942 Records"
"<a href='https://www.idigbio.org/portal/recordset/22436fe4-5049-4266-9849-335dd3f161aa'>Howard Payne University Herbarium - HPC</a>","26,171 Records"
"<a href='https://www.idigbio.org/portal/recordset/c7ae0ade-c23e-4fe6-a3d4-79bd973374c2'>Tarleton State University Herbarium - TAC</a>","1,788 Records"
"<a href='https://www.idigbio.org/portal/recordset/65536dcd-7bb2-44e5-af3f-4a13f08e53d0'>Academy of Natural Sciences of Drexel University - PH</a>","74,863 Records"
"<a href='https://www.idigbio.org/portal/recordset/910eadc8-8131-428c-b28a-91d0e2890f1d'>Delaware State University, Claude E. Phillips Herbarium - DOV</a>","341 Records"
"<a href='https://www.idigbio.org/portal/recordset/005ac06a-3d9a-46ad-ac3c-062aaa5b7059'>Muhlenberg College - MCA</a>","12,946 Records"
"<a href='https://www.idigbio.org/portal/recordset/7e43ea77-d2e5-4bdc-a4f7-a4792866f53f'>Arizona Western College Herbarium- AWC</a>","950 Records"
"<a href='https://www.idigbio.org/portal/recordset/aeed0286-ffe4-45b8-a7b9-bcee18361433'>Bandelier National Monument  - NPS-BAND</a>","2,021 Records"
"<a href='https://www.idigbio.org/portal/recordset/a8cafd75-ca3b-42c6-8b8e-52aafa15753b'>Bureau of Land Management, Las Cruces District Office - BLM-LCDO</a>","2,470 Records"
"<a href='https://www.idigbio.org/portal/recordset/997c4dda-0465-40c0-af8d-67f8f90dea3b'>Bureau of Land Management, Taos Field District Office - BLM-TAFO</a>","242 Records"
"<a href='https://www.idigbio.org/portal/recordset/0fb6618f-f8d6-4361-8b2d-0923d4aa3c09'>Coconino National Forest Herbarium - USGS-COC</a>","1,947 Records"
"<a href='https://www.idigbio.org/portal/recordset/1549b662-ec36-436a-8593-76f7642ec9e4'>Dale A. Zimmerman Herbarium at Western New Mexico University - SNM</a>","26,943 Records"
"<a href='https://www.idigbio.org/portal/recordset/c13a5966-99a3-4383-b9ef-259cf46800fe'>Gila National Forest Herbarium - USFS-GILA</a>","1,944 Records"
"<a href='https://www.idigbio.org/portal/recordset/9e8c4024-45b1-4c06-854d-9f6d807dae67'>Kaibab National Forest Herbarium - KAIB</a>","19 Records"
"<a href='https://www.idigbio.org/portal/recordset/de5203b1-5a44-4010-948c-b7d33f46397a'>Museum of Northern Arizona - MNA</a>","34,606 Records"
"<a href='https://www.idigbio.org/portal/recordset/5277e72c-9e53-4c98-85f1-ee413bc473cd'>Navajo Nation Herbarium - NAVA</a>","12,267 Records"
"<a href='https://www.idigbio.org/portal/recordset/f42a9828-c1d2-47a1-afac-7138e62b3fb1'>New Mexico Natural History Institute Herbarium - NMNHI</a>","60 Records"
"<a href='https://www.idigbio.org/portal/recordset/f89ada44-88df-46f0-bc61-cc46d9c84673'>Prescott College Natural History Institute Herbarium - NHI</a>","8,271 Records"
"<a href='https://www.idigbio.org/portal/recordset/aa53dc91-0cf2-4714-a6e0-f00f9139dcd8'>Southwestern Regional Forest Service Herbarium - USFS-SWRH</a>","180 Records"
